description	annotation_id	genes_found	input_size	term_genes	universe	pval	pval_adj	relative_enrichment	annotsbias	genes
regulation of high-density lipoprotein particle assembly	GO:0090107	1	4	3	18228	0.0006582194963982798	0.006676226320611125	1519.0	0	ABCA1
response to vitamin B3	GO:0033552	1	4	3	18228	0.0006582194963982798	0.006676226320611125	1519.0	0	ABCA1
sphingolipid translocation	GO:0099039	1	4	2	18228	0.0004388491132342799	0.006676226320611125	2278.5	0	ABCA1
positive regulation of high-density lipoprotein particle assembly	GO:0090108	1	4	2	18228	0.0004388491132342799	0.006676226320611125	2278.5	0	ABCA1
viral penetration into host nucleus	GO:0075732	1	4	2	18228	0.0004388491132342799	0.006676226320611125	2278.5	0	KPNA3
establishment of localization in cell	GO:0051649	2	4	139	18228	0.00034294828336812577	0.006676226320611125	65.56834532374101	0	SCN1A, ABCA1
signal release	GO:0023061	1	4	3	18228	0.0006582194963982798	0.006676226320611125	1519.0	0	ABCA1
peptide secretion	GO:0002790	1	4	4	18228	0.0008775537692111415	0.007788289701748881	1139.25	0	ABCA1
apolipoprotein A-I-mediated signaling pathway	GO:0038027	1	4	6	18228	0.0013161139996350122	0.009344409397408587	759.5	0	ABCA1
lipoprotein biosynthetic process	GO:0042158	1	4	6	18228	0.0013161139996350122	0.009344409397408587	759.5	0	ABCA1
export across plasma membrane	GO:0140115	1	4	10	18228	0.0021928013106240866	0.009730555815894383	455.7	0	ABCA1
response to laminar fluid shear stress	GO:0034616	1	4	8	18228	0.0017545298362068376	0.009730555815894383	569.625	0	ABCA1
neuronal action potential propagation	GO:0019227	1	4	10	18228	0.0021928013106240866	0.009730555815894383	455.7	0	SCN1A
membrane depolarization during action potential	GO:0086010	1	4	10	18228	0.0021928013106240866	0.009730555815894383	455.7	0	SCN1A
high-density lipoprotein particle assembly	GO:0034380	1	4	10	18228	0.0021928013106240866	0.009730555815894383	455.7	0	ABCA1
regulation of Cdc42 protein signal transduction	GO:0032489	1	4	8	18228	0.0017545298362068376	0.009730555815894383	569.625	0	ABCA1
negative regulation of cholesterol storage	GO:0010887	1	4	11	18228	0.0024118829219292527	0.010073158085704527	414.2727272727273	0	ABCA1
intracellular cholesterol transport	GO:0032367	1	4	13	18228	0.0028499379125397763	0.010117279589516205	350.53846153846155	0	ABCA1
phospholipid efflux	GO:0033700	1	4	13	18228	0.0028499379125397763	0.010117279589516205	350.53846153846155	0	ABCA1
response to osmotic stress	GO:0006970	1	4	12	18228	0.002630928454580747	0.010117279589516205	379.75	0	TSC22D2
neuromuscular process controlling posture	GO:0050884	1	4	15	18228	0.00328784862022417	0.010149445740692003	303.8	0	SCN1A
negative regulation of macrophage derived foam cell differentiation	GO:0010745	1	4	14	18228	0.003068911299767328	0.010149445740692003	325.5	0	ABCA1
detection of mechanical stimulus involved in sensory perception of pain	GO:0050966	1	4	15	18228	0.00328784862022417	0.010149445740692003	303.8	0	SCN1A
reverse cholesterol transport	GO:0043691	1	4	17	18228	0.0037256150766677223	0.010580746817736332	268.05882352941177	0	ABCA1
phospholipid homeostasis	GO:0055091	1	4	17	18228	0.0037256150766677223	0.010580746817736332	268.05882352941177	0	ABCA1
protein transmembrane transport	GO:0071806	1	4	19	18228	0.0041632373135522425	0.011111485697454397	239.8421052631579	0	ABCA1
NLS-bearing protein import into nucleus	GO:0006607	1	4	20	18228	0.0043819943595594804	0.011111485697454397	227.85	0	KPNA3
nerve development	GO:0021675	1	4	20	18228	0.0043819943595594804	0.011111485697454397	227.85	0	SCN1A
cellular response to low-density lipoprotein particle stimulus	GO:0071404	1	4	22	18228	0.004819400326501235	0.011121068907663628	207.13636363636365	0	ABCA1
lipoprotein metabolic process	GO:0042157	1	4	25	18228	0.005475239023617521	0.011121068907663628	182.28	0	ABCA1
phagocytosis, engulfment	GO:0006911	1	4	25	18228	0.005475239023617521	0.011121068907663628	182.28	0	ABCA1
transmembrane transport	GO:0055085	2	4	563	18228	0.0054822170671581264	0.011121068907663628	16.188277087033747	0	SCN1A, ABCA1
platelet dense granule organization	GO:0060155	1	4	25	18228	0.005475239023617521	0.011121068907663628	182.28	0	ABCA1
cardiac muscle cell action potential involved in contraction	GO:0086002	1	4	24	18228	0.005256662153073261	0.011121068907663628	189.875	0	SCN1A
cellular response to cholesterol	GO:0071397	1	4	21	18228	0.0046007153625560624	0.011121068907663628	217.0	0	ABCA1
positive regulation of cholesterol efflux	GO:0010875	1	4	27	18228	0.005912284699014424	0.011345194962973626	168.77777777777777	0	ABCA1
phospholipid translocation	GO:0045332	1	4	27	18228	0.005912284699014424	0.011345194962973626	168.77777777777777	0	ABCA1
cholesterol transport	GO:0030301	1	4	28	18228	0.00613075351178317	0.01145482892991066	162.75	0	ABCA1
cholesterol efflux	GO:0033344	1	4	29	18228	0.006349186313209154	0.011558775083021791	157.13793103448276	0	ABCA1
regulation of presynaptic membrane potential	GO:0099505	1	4	31	18228	0.006785943897862637	0.012045050418706179	147.0	0	SCN1A
neuronal action potential	GO:0019228	1	4	34	18228	0.007440810288702762	0.012885305621899905	134.02941176470588	0	SCN1A
adult walking behavior	GO:0007628	1	4	35	18228	0.007659027105172214	0.012947402963505411	130.2	0	SCN1A
inorganic cation transmembrane transport	GO:0098662	1	4	36	18228	0.007877207937996887	0.013006552641808816	126.58333333333333	0	SCN1A
determination of adult lifespan	GO:0008340	1	4	37	18228	0.008095352791132776	0.01306295564023698	123.16216216216216	0	SCN1A
cellular response to cytokine stimulus	GO:0071345	1	4	42	18228	0.009185537499924614	0.014492736944325502	108.5	0	ABCA1
phospholipid transport	GO:0015914	1	4	46	18228	0.010057038035990142	0.015522819577289132	99.06521739130434	0	ABCA1
lysosome organization	GO:0007040	1	4	55	18228	0.012015812129317545	0.01815154598258608	82.85454545454546	0	ABCA1
negative regulation of cell cycle	GO:0045786	1	4	57	18228	0.012450700209496589	0.01841666072654704	79.94736842105263	0	TSC22D2
response to nutrient	GO:0007584	1	4	67	18228	0.014622987442711394	0.02076464216865018	68.01492537313433	0	ABCA1
endosomal transport	GO:0016197	1	4	66	18228	0.014405920141784576	0.02076464216865018	69.04545454545455	0	ABCA1
cellular response to xenobiotic stimulus	GO:0071466	1	4	72	18228	0.015707786168906217	0.020937950470609628	63.291666666666664	0	ABCA1
protein secretion	GO:0009306	1	4	71	18228	0.01549089811429682	0.020937950470609628	64.1830985915493	0	ABCA1
cellular response to retinoic acid	GO:0071300	1	4	71	18228	0.01549089811429682	0.020937950470609628	64.1830985915493	0	ABCA1
response to nutrient levels	GO:0031667	1	4	73	18228	0.015924638386097464	0.020937950470609628	62.42465753424658	0	ABCA1
monoatomic cation transmembrane transport	GO:0098655	1	4	80	18228	0.017441600790327683	0.02251552102024119	56.9625	0	SCN1A
cholesterol metabolic process	GO:0008203	1	4	91	18228	0.01982185459663439	0.02469038028703582	50.07692307692308	0	ABCA1
regulation of membrane potential	GO:0042391	1	4	90	18228	0.019605646778082856	0.02469038028703582	50.63333333333333	0	SCN1A
symbiont entry into host cell	GO:0046718	1	4	105	18228	0.022845010793820193	0.027543643774031422	43.4	0	KPNA3
protein import into nucleus	GO:0006606	1	4	106	18228	0.02306068258970523	0.027543643774031422	42.99056603773585	0	KPNA3
cholesterol homeostasis	GO:0042632	1	4	107	18228	0.023276318682280073	0.027543643774031422	42.58878504672897	0	ABCA1
sodium ion transmembrane transport	GO:0035725	1	4	136	18228	0.029514252132916467	0.034352654121919166	33.50735294117647	0	SCN1A
adenylate cyclase-activating G protein-coupled receptor signaling pathway	GO:0007189	1	4	142	18228	0.030801119440639815	0.03471237270294328	32.09154929577465	0	ABCA1
