description	annotation_id	genes_found	input_size	term_genes	universe	pval	pval_adj	relative_enrichment	annotsbias	genes
Dilated cardiomyopathy	hsa05414	1	4	104	8377	0.04875119526604884	0.08853234577619776	20.13701923076923	0	SNTB2
Fat digestion and absorption	hsa04975	1	4	43	8377	0.02037847927606505	0.08853234577619776	48.70348837209303	0	ABCA1
Viral myocarditis	hsa05416	1	4	68	8377	0.032082309006091936	0.08853234577619776	30.797794117647058	0	SNTB2
Nucleocytoplasmic transport	hsa03013	1	4	108	8377	0.050589911872113	0.08853234577619776	19.391203703703702	0	KPNA3
Cholesterol metabolism	hsa04979	1	4	51	8377	0.024135187663826493	0.08853234577619776	41.06372549019608	0	ABCA1
Arrhythmogenic right ventricular cardiomyopathy	hsa05412	1	4	86	8377	0.04044389841546585	0.08853234577619776	24.351744186046513	0	SNTB2
Hypertrophic cardiomyopathy	hsa05410	1	4	99	8377	0.046449045248199414	0.08853234577619776	21.154040404040405	0	SNTB2
ABC transporters	hsa02010	1	4	45	8377	0.0213186714352171	0.08853234577619776	46.53888888888889	0	ABCA1
Dopaminergic synapse	hsa04728	1	4	132	8377	0.06156629686916341	0.09576979512980974	15.865530303030305	0	SCN1A
Efferocytosis	hsa04148	1	4	156	8377	0.07244722994623082	0.10142612192472314	13.424679487179487	0	ABCA1
Lipid and atherosclerosis	hsa05417	1	4	215	8377	0.0987939391667856	0.11328319378527255	9.740697674418605	0	ABCA1
Salmonella infection	hsa05132	1	4	248	8377	0.11328319378527255	0.11328319378527255	8.444556451612904	0	KPNA3
Chemical carcinogenesis - receptor activation	hsa05207	1	4	211	8377	0.09702567711375061	0.11328319378527255	9.925355450236967	0	KPNA3
Cytoskeleton in muscle cells	hsa04820	1	4	232	8377	0.10628009620822154	0.11328319378527255	9.026939655172415	0	SNTB2
